"OrderID","InvoiceDate","CustomerID","OrderVolume","ShipMode","Segment","Category","PaymentTerm","Discount","ExistingPurchaseOrder","FirstCustomerOrder","CashInDate"
"O-100","2011-01-03",1024,276.1,"Same Day","Corporate","Office Supplies",30,"5%","Yes","Yes","2011-02-18"
"O-101","2011-01-03",1024,35.88,"Same Day","Corporate","Office Supplies",30,"5%","Yes","No","2011-02-18"
"O-102","2011-01-05",1006,66.12,"Second Class","Consumer","Office Supplies",30,"3%","Yes","Yes","2011-02-06"
"O-104","2011-01-06",1023,408.3,"Standard Class","Consumer","Office Supplies",30,"5%","No","Yes","2011-02-17"
"O-105","2011-01-06",1009,314.22,"Standard Class","Consumer","Technology",45,"3%","Yes","Yes","2011-02-10"
"O-106","2011-01-07",1014,666.84,"Standard Class","Corporate","Furniture",14,"0%","Yes","Yes","2011-02-09"
"O-107","2011-01-07",1015,337.64,"Second Class","Consumer","Office Supplies",30,"3%","Yes","Yes","2011-02-16"
"O-108","2011-01-07",1008,211.18,"Second Class","Consumer","Furniture",30,"0%","Yes","Yes","2011-02-09"
"O-109","2011-01-07",1030,207.12,"First Class","Corporate","Office Supplies",14,,"Yes","Yes","2011-02-05"
"O-111","2011-01-07",1028,854.49,"Standard Class","Consumer","Furniture",30,"5%","Yes","Yes","2011-02-09"
"O-112","2011-01-07",1010,195.2,"Standard Class","Consumer","Technology",45,"5%","Yes","Yes","2011-02-19"
"O-113","2011-01-07",1006,122.58,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-01-27"
"O-114","2011-01-07",1006,62.34,"Standard Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-01"
"O-116","2011-01-07",1010,18.54,"Same Day","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-22"
"O-117","2011-01-07",1014,47.43,"Standard Class","Corporate","Office Supplies",45,"5%","Yes","No","2011-03-04"
"O-119","2011-01-07",1006,16.71,"Standard Class","Consumer","Office Supplies",45,"5%","Yes","No","2011-02-15"
"O-127","2011-01-08",1000,81.24,"Standard Class","Consumer","Office Supplies",45,"3%","Yes","Yes","2011-03-02"
"O-131","2011-01-08",1012,38.58,"Standard Class","Corporate","Office Supplies",45,,"Yes","Yes","2011-03-15"
"O-132","2011-01-08",1019,12.78,"First Class","Corporate","Office Supplies",14,"3%","Yes","Yes","2011-02-11"
"O-133","2011-01-08",1031,16.45,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","Yes","2011-01-31"
"O-120","2011-01-08",1030,716.04,"First Class","Corporate","Office Supplies",45,"3%","Yes","No","2011-02-19"
"O-121","2011-01-08",1028,139.77,"Standard Class","Consumer","Office Supplies",30,"5%","No","No","2011-02-15"
